,word,totalRepetitions,fileOcurrences,weight
1283,"('heart', 'shoot')",14,2,0.010869565217391304
3063,"('war', 'fought')",28,1,0.010869565217391304
1771,"('lost', 'way')",7,4,0.010869565217391304
160,"('baby', 'hurt')",14,2,0.010869565217391304
1475,"('know', 'ai')",7,4,0.010869565217391304
1909,"('might', 'get')",7,4,0.010869565217391304
636,"('driving', 'crazy')",7,4,0.010869565217391304
1014,"('get', 'come')",7,4,0.010869565217391304
258,"('blind', 'see')",7,4,0.010869565217391304
2757,"('take', 'take')",7,4,0.010869565217391304
427,"('cold', 'cold')",7,4,0.010869565217391304
1794,"('love', 'lie')",14,2,0.010869565217391304
774,"('fear', 'dark')",28,1,0.010869565217391304
1251,"('hate', 'war')",14,2,0.010869565217391304
1298,"('heavy', 'heavy')",14,2,0.010869565217391304
2777,"('tell', 'one')",9,3,0.01048136645962733
3242,"('yeah', 'burn')",9,3,0.01048136645962733
1456,"('killer', 'killer')",9,3,0.01048136645962733
469,"('coming', 'way')",9,3,0.01048136645962733
1997,"('never', 'ends')",9,3,0.01048136645962733
454,"('come', 'rock')",9,3,0.01048136645962733
2011,"('never', 'meant')",9,3,0.01048136645962733
728,"('evil', 'evil')",9,3,0.01048136645962733
843,"('fight', 'take')",9,3,0.01048136645962733
2661,"('still', 'believe')",9,3,0.01048136645962733
1835,"('mad', 'want')",9,3,0.01048136645962733
1491,"('know', 'hard')",9,3,0.01048136645962733
1946,"('morning', 'yeah')",9,3,0.01048136645962733
3263,"('yeah', 'run')",9,3,0.01048136645962733
2296,"('rape', 'murder')",9,3,0.01048136645962733
1020,"('get', 'fight')",9,3,0.01048136645962733
2428,"('say', 'got')",9,3,0.01048136645962733
3264,"('yeah', 'runnin')",9,3,0.01048136645962733
3164,"('wish', 'could')",9,3,0.01048136645962733
2201,"('pain', 'yeah')",9,3,0.01048136645962733
2025,"('new', 'world')",13,2,0.010093167701863354
1248,"('hate', 'think')",13,2,0.010093167701863354
2360,"('right', 'say')",13,2,0.010093167701863354
2598,"('something', 'new')",5,5,0.009704968944099378
2730,"('take', 'another')",5,5,0.009704968944099378
2153,"('ooh', 'see')",5,5,0.009704968944099378
452,"('come', 'oh')",5,5,0.009704968944099378
435,"('come', 'baby')",5,5,0.009704968944099378
540,"('day', 'judgment')",5,5,0.009704968944099378
1340,"('hold', 'back')",5,5,0.009704968944099378
2484,"('see', 'see')",5,5,0.009704968944099378
2103,"('oh-oh', 'oh-oh')",12,2,0.009316770186335404
167,"('baby', 'ooh')",6,4,0.009316770186335404
3008,"('want', 'change')",6,4,0.009316770186335404
1950,"('move', 'body')",6,4,0.009316770186335404
3260,"('yeah', 'one')",6,4,0.009316770186335404
3186,"('words', 'lie')",6,4,0.009316770186335404
154,"('baby', 'come')",6,4,0.009316770186335404
1199,"('gun', 'janie')",12,2,0.009316770186335404
1948,"('mother', 'superior')",12,2,0.009316770186335404
1911,"('might', 'take')",6,4,0.009316770186335404
2081,"('oh', 'hell')",12,2,0.009316770186335404
2104,"('oh-oh', 'woo-oh')",12,2,0.009316770186335404
3157,"('win', 'war')",6,4,0.009316770186335404
2118,"('one', 'desire')",6,4,0.009316770186335404
1632,"('life', 'take')",6,4,0.009316770186335404
1218,"('happiness', 'warm')",12,2,0.009316770186335404
1113,"('going', 'feel')",8,3,0.009316770186335404
1244,"('hate', 'people')",8,3,0.009316770186335404
711,"('everybody', 'run')",12,2,0.009316770186335404
1011,"('get', 'burned')",6,4,0.009316770186335404
1996,"('never', 'end')",8,3,0.009316770186335404
78,"('always', 'yeah')",12,2,0.009316770186335404
46,"('ai', 'never')",6,4,0.009316770186335404
1661,"('like', 'flame')",8,3,0.009316770186335404
3071,"('war', 'kill')",12,2,0.009316770186335404
1141,"('good', 'absolutely')",12,2,0.009316770186335404
1142,"('good', 'evil')",8,3,0.009316770186335404
1830,"('mad', 'driving')",12,2,0.009316770186335404
3083,"('war', 'stop')",12,2,0.009316770186335404
36,"('ah', 'hate')",12,2,0.009316770186335404
584,"('desire', 'burns')",12,2,0.009316770186335404
3246,"('yeah', 'even')",12,2,0.009316770186335404
3085,"('war', 'territory')",12,2,0.009316770186335404
3093,"('warm', 'gun')",12,2,0.009316770186335404
1642,"('light', 'shine')",8,3,0.009316770186335404
2018,"('never', 'thought')",8,3,0.009316770186335404
126,"('away', 'always')",8,3,0.009316770186335404
1125,"('going', 'make')",6,4,0.009316770186335404
3198,"('world', 'last')",6,4,0.009316770186335404
1121,"('going', 'know')",6,4,0.009316770186335404
693,"('ever', 'feel')",12,2,0.009316770186335404
3022,"('want', 'hurt')",6,4,0.009316770186335404
1695,"('little', 'girl')",6,4,0.009316770186335404
1167,"('got', 'lost')",8,3,0.009316770186335404
724,"('everything', 'right')",8,3,0.009316770186335404
2414,"('said', 'nobody')",6,4,0.009316770186335404
2947,"('uh', 'uh')",6,4,0.009316770186335404
282,"('boy', 'dream')",12,2,0.009316770186335404
2808,"('think', 'think')",8,3,0.009316770186335404
922,"('fire', 'say')",6,4,0.009316770186335404
1573,"('let', 'let')",6,4,0.009316770186335404
1294,"('hearts', 'like')",6,4,0.009316770186335404
788,"('feel', 'desire')",12,2,0.009316770186335404
2197,"('pain', 'suffering')",12,2,0.009316770186335404
2767,"('tear', 'apart')",6,4,0.009316770186335404
